date,open_trades,closed_today,total_closed,win_rate,total_pnl,capital
2026-03-31,15,0,0,0.0,0,1000000
2026-04-01,14,4,4,50.0,657,1000000
2026-04-02,15,1,8,37.5,-1500,1000000
2026-04-06,15,3,11,45.5,-6649,1000000
2026-05-11,5,0,2,50.0,803,1000000
2026-05-13,8,1,5,60.0,3710,1000000
2026-05-15,8,0,6,50.0,2812,1000000
2026-05-22,6,3,9,55.6,5834,1000000
2026-06-09,4,0,0,0.0,0,1000000
2026-06-10,4,1,1,100.0,2522,1000000
2026-06-11,6,0,1,100.0,2522,1000000
2026-06-12,6,0,1,100.0,2522,1000000
2026-06-15,6,1,2,50.0,2522,1000000
